,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,200,200,200,8,9,9,30,30,30,30,25,25,25,25,25,30,30,30,30,30,30,180,45,45
02,45,45,180,180,180,180,180,120,180,180,120,40,40,40,180,180,180,190,200,190,190,190,190,190
03,190,150,130,40,40,40,40,150,150,30,25,30,25,25,30,40,35,10,10,10,30,25,40,40
04,40,40,30,30,30,30,30,25,10,5,4,10,10,20,10,20,15,15,10,10,10,20,6,30
05,30,30,30,15,15,4,4,4,7,10,10,5,5,7,7,10,10,10,10,10,10,8,8,10
06,10,70,10,10,25,30,30,40,40,40,40,40,10,40,40,10,10,10,25,25,25,25,10,30
07,5,5,25,25,25,20,30,40,40,40,40,40,30,20,10,10,5,5,5,10,10,10,30,25
08,15,15,15,10,10,10,15,10,10,10,10,10,10,10,10,120,120,120,120,120,120,120,120,120
09,120,120,120,120,120,120,120,120,5,10,10,10,25,110,110,100,100,100,90,80,40,40,40,40
10,40,25,5,5,5,3,10,5,5,10,10,15,4,4,3,3,2,8,2,4,3,5,5,5
11,5,5,5,5,5,5,10,10,25,25,9,25,25,30,40,40,40,40,40,40,40,40,40,40
12,40,40,40,40,40,40,40,40,30,30,10,30,30,10,10,30,30,15,10,10,10,10,30,30
13,30,30,40,40,40,40,40,40,40,120,120,120,200,200,120,120,65,65,70,120,50,140,140,70
14,60,90,40,35,35,40,10,10,10,15,6,8,8,9,10,10,10,10,25,25,15,15,30,40
15,2,4,3,4,2,7,40,8,10,15,20,30,30,35,30,30,30,40,45,45,50,180,150,50
16,50,180,150,60,60,150,150,160,160,160,160,160,180,180,,200,200,200,200,200,200,,200,200
17,200,200,200,200,,120,200,200,200,200,200,200,200,200,200,200,200,200,190,190,190,180,180,180
18,180,150,150,150,180,200,,,,,,,,,,,,,,,15,,,
19,,,,,,,,,,,,200,200,120,120,120,120,100,100,100,200,200,200,200
20,200,200,200,200,180,190,190,120,120,8,120,120,100,100,100,120,120,120,120,140,110,130,130,140
21,140,140,140,140,120,120,90,80,40,100,110,40,40,40,40,40,40,40,40,40,40,190,120,120
22,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50
23,150,150,150,150,,,50,50,50,50,120,30,30,30,30,30,30,40,,,,,,
24,,,,,,,,,,,15,30,30,,,,120,,,,,,,
25,,,,,200,200,10,7,8,200,200,200,30,30,30,200,200,200,200,200,200,200,200,200
26,200,200,200,200,200,200,200,200,200,200,190,180,180,180,180,180,180,150,150,130,130,130,130,130
27,130,180,180,200,200,180,180,120,180,120,10,120,120,120,200,140,50,50,50,50,50,180,180,180
28,180,180,180,180,190,150,120,120,120,200,200,120,120,120,120,120,120,,,,,,,
29,,,,,,,,,200,200,,,,,,,,,,10,,,,5
30,10,4,1,1,1,1,1,7,7,8,30,25,25,30,30,,,,,10,10,10,,
