DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1022.5,4.5,9.8,-0.3,-2.1,65,30,4.4,11,29,15,28,0.8,,,80,,,
2,1019.9,4.9,11.6,-1.2,-2.9,61,33,4.0,7,33,10,29,5.4,,,5,6,CI,180
3,1013.8,6.4,13.1,-0.1,-3.3,53,25,4.5,10,30,13,30,4.6,,,200,3,AC,100
4,1014.1,7.1,12.9,2.9,-0.2,62,29,5.7,12,28,18,28,2.8,,,120,5,AC,140
5,1020.4,5.9,9.5,2.4,2.4,79,67,5.3,13,24,22,23,5.7,,,55,6,ST,3
6,1017.0,5.5,10.3,2.0,1.5,76,58,4.9,12,29,15,29,4.0,0.0,,10,5,SC,20
7,1020.2,5.6,10.7,1.8,-2.6,57,42,9.8,16,27,22,28,0.3,,,350,,,
8,1025.5,4.0,9.2,-1.0,-3.1,61,34,5.5,11,23,20,23,0.7,,,,,,
9,1022.5,4.8,12.0,-1.7,-7.2,51,11,3.9,9,30,14,30,4.9,,,5,6,AC,100
10,1014.4,8.3,14.1,4.5,-7.2,34,14,7.8,16,4,20,4,5.3,,,,8,AS,90
11,1009.9,4.6,6.3,2.1,0.1,73,54,4.0,10,26,17,23,4.8,0.0,,280,5,SC,25
12,1011.8,4.2,7.5,1.5,-4.4,58,30,11.5,20,32,33,31,3.3,,,140,5,ST,10
13,1020.5,4.0,7.7,1.6,-8.8,40,25,14.7,21,28,31,28,0.3,,,,5,SC,45
14,1023.0,4.5,8.7,-2.1,-4.4,55,26,6.6,13,22,19,22,2.8,,,600,6,SC,30
15,1017.8,3.8,10.0,1.4,0.2,79,34,6.8,15,31,27,26,5.3,1.0,,5,9,FG,1
16,1020.9,4.4,7.9,0.4,-1.0,68,46,6.5,15,33,20,31,3.3,,,500,7,AC,90
17,1023.6,5.5,10.2,1.6,-1.5,63,31,6.0,13,25,20,25,1.0,,,50,,,
18,1020.7,4.9,10.2,-0.9,-3.7,57,27,4.9,10,24,18,24,5.5,,,420,6,CI,180
19,1017.3,6.7,11.1,1.8,0.5,66,37,5.3,13,23,17,23,3.1,,,280,6,ST,14
20,1010.7,8.3,13.2,2.5,5.2,81,59,5.7,10,20,16,21,6.5,15.5,,5,5,ST,3
21,1008.8,6.4,10.5,1.9,1.9,74,54,14.0,27,28,35,28,5.2,1.5,,40,5,ST,1
22,1020.8,3.3,7.5,-0.5,-9.0,41,25,13.1,17,34,24,31,1.4,,,,5,CI,200
23,1021.5,4.0,8.3,-1.1,-4.8,55,33,10.9,22,30,29,30,2.2,2.0,,280,3,CB,20
24,1021.8,4.8,8.0,1.7,-4.2,53,39,10.0,16,26,25,27,0.5,,,,,,
25,1017.2,6.4,11.4,1.1,1.0,69,51,12.0,19,21,32,21,2.2,,,,,,
26,1017.8,8.3,13.6,2.6,2.8,71,33,5.5,12,18,19,23,3.0,,,10,7,ST,4
27,1012.9,8.9,13.6,5.3,4.4,74,55,11.0,20,22,32,21,5.3,,,10,9,FG,1
28,1014.6,7.0,11.0,2.8,-2.0,56,29,8.3,15,34,20,34,4.8,,,40,9,FG,2
29,1014.9,7.1,10.2,4.6,-5.3,43,26,8.5,13,2,22,30,3.6,0.0,,,5,SC,30
30,1013.4,5.1,9.4,3.4,0.4,73,46,12.8,27,28,35,27,6.6,2.0,,280,5,ST,6
31,1019.9,5.1,8.9,2.9,-6.4,45,23,15.6,24,28,33,28,3.5,,,,7,SC,25
