,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,,,,,,,,,,,,,,,,,,,,,,,,
02,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,3.5,3.0,0.5,1.0,0.5,1.5
03,0.5,0.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,
05,,,,,0.0,,,,,,,,,,,,,,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,
07,,,0.0,0.5,1.5,3.5,4.0,2.0,1.5,1.5,1.0,0.5,0.0,0.5,0.5,0.5,0.0,,,,,,,
08,,,,,,,,,,,,,,,,,,,,,,,,
09,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0
29,0.0,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,
