,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,3,3,3,4,6,5,6,4,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8
02,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
03,8,8,8,8,8,8,7,7,7,5,5,4,3,3,4,4,3,2,0,0,0,2,0,0
04,0,0,0,2,1,2,7,7,7,2,2,2,2,2,2,2,2,3,4,4,6,7,7,7
05,7,8,8,8,8,7,8,8,8,8,8,7,7,7,6,7,5,2,4,2,0,0,0,0
06,2,3,3,3,3,3,2,1,2,3,5,5,6,7,6,7,7,7,6,7,7,7,7,7
07,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,4,4,2,3,3
08,3,3,7,7,7,6,2,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
09,0,0,0,0,0,0,0,0,1,1,2,2,2,6,7,5,2,2,2,1,3,7,4,4
10,4,4,7,7,7,7,7,7,7,8,8,8,7,8,8,7,8,7,7,7,7,7,7,7
11,7,5,3,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
13,0,0,0,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1
14,1,0,0,0,0,0,4,7,7,4,3,3,1,0,1,3,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,4,4,4,1,3,3,4,6,5,3,2,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,3,6,6,6,5,6,6,6,7,6,7,7,6,7,7,7
17,7,7,7,7,7,7,7,7,7,6,6,6,6,4,3,2,2,1,1,5,3,1,5,5
18,5,6,3,5,7,7,7,7,7,7,7,3,3,4,4,5,5,3,3,3,3,7,4,4
19,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,1,1,0,0,0,0,0,0
21,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,4,5,5,7,4,3,3,3,3
22,3,4,4,5,5,3,3,3,3,2,1,3,3,2,2,2,0,0,0,0,0,0,0,0
23,3,5,7,7,7,7,7,7,7,8,8,8,8,8,8,8,6,7,7,8,8,7,3,3
24,6,5,2,3,2,5,6,5,6,3,1,1,0,0,0,1,1,1,4,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,2,4,3,5,8,7,8,8,8,8,8,8,5,5,5
26,6,6,4,5,6,6,7,6,6,6,3,3,4,6,7,5,3,3,1,1,0,0,0,0
27,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,4,1,0,2,3,3
28,3,3,4,4,4,5,5,4,2,3,5,6,7,7,6,4,6,5,5,6,8,8,8,8
29,8,6,4,6,6,4,3,2,2,2,1,1,0,1,1,2,3,2,1,1,1,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
31,0,0,3,3,3,3,2,3,3,4,6,3,4,6,6,5,6,6,6,5,5,5,,
