,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,600,400,600,1000,1000,1000,1000,1000,1000,700,800,800,800,1000,1000,1000,1000,1000,1000,1000,800,200,110,500
02,350,80,90,80,120,70,120,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
04,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
05,1000,900,1000,900,1000,800,600,450,600,700,700,700,800,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1000
06,1000,1000,1000,1000,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
07,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,600,200,200,200,300
08,90,140,140,160,160,180,200,300,500,600,600,600,1000,1000,900,1000,1000,1000,1000,1000,1000,1000,1000,1000
09,1000,1000,1000,1000,300,420,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
10,1000,1000,600,600,600,600,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
11,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,350,250
12,420,420,200,250,250,350,700,800,800,800,350,800,600,800,800,1000,1000,1000,1000,250,300,1000,150,1000
13,800,600,900,400,350,250,1000,1000,1000,1000,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
14,800,1000,900,800,350,300,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,600,1000,1000,1000,1000
15,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
16,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
17,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
18,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
19,1000,1000,1000,1000,1000,1000,700,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
20,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,800,800,800,1000
21,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,800,700,800,900,800,800,800,700,600,450,350,350,450
22,500,450,400,450,400,400,400,400,450,600,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
23,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
24,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
25,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
26,1000,1000,1000,1000,1000,800,800,1000,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
27,1000,1000,900,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
28,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
29,1000,1000,800,700,700,600,700,700,700,250,600,600,800,700,900,1000,900,800,1000,1000,1000,1000,1000,1000
30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,
