,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,26,34,31,36,34,32,36,34,34,35,34,33,32,31,32,30,25,26,24,10,24,6,6,7
02,6,10,6,5,6,6,5,5,6,12,13,12,12,32,32,30,29,30,35,31,32,34,33,32
03,35,36,4,7,5,5,7,9,7,4,4,5,4,3,3,31,30,32,3,5,6,5,6,5
04,5,6,6,6,6,6,6,7,5,5,4,2,23,29,30,29,29,29,31,33,31,30,32,33
05,34,3,18,17,19,5,0,7,31,30,32,31,29,29,30,28,27,24,26,26,32,32,35,36
06,35,33,31,11,5,7,6,6,5,4,3,17,30,31,29,28,28,26,25,26,29,30,32,32
07,32,35,34,29,32,33,34,36,35,34,33,33,32,30,31,34,35,35,35,34,34,35,35,35
08,35,36,36,36,36,1,1,4,1,2,35,32,34,32,32,33,35,36,36,36,34,1,1,34
09,34,34,36,36,35,4,5,6,6,3,1,34,33,29,28,28,28,27,27,27,28,29,5,12
10,10,12,13,12,12,13,13,12,14,15,14,14,14,15,14,14,16,14,16,14,14,14,28,26
11,28,27,21,30,30,30,30,32,33,33,32,32,32,29,30,30,30,32,32,33,34,34,36,33
12,28,18,0,7,2,7,15,9,14,12,14,9,20,34,34,33,36,8,8,31,8,5,5,6
13,5,7,13,12,10,13,14,14,15,16,15,20,22,24,27,32,34,34,32,32,32,32,32,33
14,33,34,34,36,36,36,36,36,36,2,34,34,33,34,36,9,16,20,14,14,18,18,18,18
15,14,15,15,18,22,24,8,12,10,17,5,12,7,7,4,3,4,7,4,7,8,11,6,7
16,6,6,6,5,5,6,7,6,6,5,6,5,4,4,6,5,4,5,5,6,6,5,6,5
17,6,6,5,6,6,6,6,6,6,9,8,6,6,6,10,9,11,11,11,14,15,15,25,26
18,28,29,29,31,33,34,34,32,33,33,31,31,30,30,31,31,31,33,32,33,32,33,32,31
19,32,35,36,36,1,2,5,12,7,3,3,35,34,33,34,31,29,32,32,36,36,36,1,4
20,3,2,3,3,4,4,2,36,36,36,35,34,33,33,35,7,5,3,2,6,8,5,4,7
21,6,6,7,8,6,6,7,5,5,4,9,13,12,12,5,1,4,6,5,6,5,10,10,10
22,5,6,6,5,6,6,6,6,6,5,5,13,5,4,4,12,15,16,1,1,3,5,5,6
23,6,6,6,7,6,7,6,6,5,14,15,14,17,17,20,20,2,6,6,6,7,5,7,9
24,14,13,10,9,8,13,9,14,15,16,15,14,15,29,34,33,33,33,33,32,32,33,33,33
25,34,35,34,34,35,35,34,35,35,36,2,33,35,1,3,2,36,2,2,3,6,6,6,5
26,5,6,6,6,7,6,5,6,6,4,3,17,21,30,30,32,33,30,31,31,33,27,33,35
27,36,35,36,36,35,36,36,35,34,34,34,34,33,33,35,35,35,36,35,35,36,1,3,3
28,1,3,2,3,2,1,2,5,4,4,5,4,35,32,33,32,32,34,33,33,33,34,35,34
29,35,33,35,36,36,36,36,1,36,35,32,34,31,33,32,32,34,35,31,1,4,7,6,7
30,6,6,6,7,5,5,6,9,6,4,13,15,14,35,1,35,33,35,3,7,5,4,,
