,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,6,7,5,1,1,2,1,2,2,2,2,5,7,8,9,12,9,10,8,5,4,4,5,4
02,5,6,6,9,7,9,10,11,10,12,12,14,14,12,13,9,7,9,6,4,5,5,7,6
03,4,7,7,6,6,6,5,6,7,7,6,5,6,9,5,8,12,6,9,13,14,12,16,15
04,13,10,11,8,7,11,11,10,7,9,8,8,8,7,8,5,7,5,3,1,2,1,1,2
05,2,3,5,6,8,12,11,11,10,9,13,14,11,9,9,6,4,5,8,6,6,4,3,1
06,5,5,4,2,5,5,4,7,6,6,5,4,3,8,7,9,9,10,6,7,9,9,5,6
07,7,10,11,13,14,16,18,16,17,18,17,16,14,17,15,16,10,13,11,12,17,20,16,12
08,14,10,12,11,11,9,4,3,7,7,6,4,5,7,10,9,7,7,7,5,5,7,10,11
09,11,11,12,11,11,11,12,12,9,13,11,13,14,14,12,12,11,9,10,10,11,11,12,11
10,8,5,3,2,5,7,5,4,3,2,3,9,8,5,5,5,7,5,6,6,7,9,8,10
11,8,5,10,8,8,5,4,1,1,8,8,12,10,10,8,12,9,9,7,7,8,8,4,3
12,1,2,3,5,6,5,1,1,1,3,5,4,2,5,6,9,10,9,7,12,10,12,8,9
13,5,4,4,5,5,2,5,1,6,8,9,8,9,10,9,9,9,10,7,11,8,7,8,8
14,5,7,5,3,6,5,5,6,8,8,6,4,5,5,9,7,5,5,4,6,4,4,5,4
15,0,0,2,5,6,6,2,3,2,2,3,5,8,9,9,8,9,13,10,8,7,8,5,10
16,11,6,8,10,10,11,12,8,11,12,9,11,10,9,9,10,10,9,9,10,11,10,7,9
17,4,6,6,4,6,9,5,4,7,9,8,8,7,7,8,7,7,6,4,7,8,5,4,4
18,1,7,7,2,1,1,2,2,1,3,2,3,5,4,8,7,6,3,3,3,4,3,2,1
19,0,1,2,4,5,6,7,8,8,6,5,5,4,7,9,9,10,11,9,9,9,6,7,7
20,9,11,10,9,5,5,4,6,6,8,11,10,12,10,12,10,9,8,10,8,7,3,6,7
21,5,3,3,1,5,6,3,2,5,3,2,5,6,7,11,10,10,8,5,2,1,3,2,2
22,0,2,3,3,2,2,1,3,3,7,5,3,5,9,9,11,10,8,3,4,4,1,1,1
23,0,1,1,2,2,3,2,4,6,4,3,7,5,6,8,9,7,6,2,2,3,3,3,2
24,2,1,2,5,5,1,3,3,5,5,3,4,7,5,10,13,6,8,1,6,2,2,2,3
25,5,4,3,3,3,2,3,2,2,4,5,6,7,9,11,11,11,8,8,7,6,8,7,3
26,9,2,1,2,4,2,1,0,1,1,3,5,6,9,7,5,9,6,3,4,1,3,3,2
27,1,2,3,2,5,1,5,4,4,3,4,3,4,8,10,6,8,6,4,5,4,3,2,2
28,3,1,2,1,1,1,0,1,2,1,2,4,4,8,9,10,8,9,5,4,4,2,,
