,datetm,floor,parking,parkingarea
0,20210817105918,T1 단기주차장지상층,65,993
1,20210817105918,T1 단기주차장지하1층,75,973
2,20210817105918,T1 단기주차장지하2층,64,1339
3,20210817105918,T2 단기주차장지상1층,327,988
4,20210817105918,T2 단기주차장지상2층,14,470
5,20210817105918,T2 단기주차장지상3층,15,448
6,20210817105918,T2 단기주차장지상4층,0,486
7,20210817105918,T2 단기주차장지하M층,89,751
8,20210817105918,T1 장기 P1 주차장,258,2762
9,20210817105918,T1 장기 P1 주차타워,545,1374
0,20210817115931,T1 단기주차장지상층,80,993
1,20210817115931,T1 단기주차장지하1층,93,973
2,20210817115931,T1 단기주차장지하2층,65,1339
3,20210817115931,T2 단기주차장지상1층,352,988
4,20210817115931,T2 단기주차장지상2층,15,470
5,20210817115931,T2 단기주차장지상3층,15,448
6,20210817115931,T2 단기주차장지상4층,0,486
7,20210817115931,T2 단기주차장지하M층,90,751
8,20210817115931,T1 장기 P1 주차장,269,2762
9,20210817115931,T1 장기 P1 주차타워,550,1374
0,20210817125945,T1 단기주차장지상층,86,993
1,20210817125945,T1 단기주차장지하1층,107,973
2,20210817125945,T1 단기주차장지하2층,73,1339
3,20210817125945,T2 단기주차장지상1층,331,988
4,20210817125945,T2 단기주차장지상2층,15,470
5,20210817125945,T2 단기주차장지상3층,17,448
6,20210817125945,T2 단기주차장지상4층,0,486
7,20210817125945,T2 단기주차장지하M층,89,751
8,20210817125945,T1 장기 P1 주차장,287,2762
9,20210817125945,T1 장기 P1 주차타워,568,1374
0,20210817135959,T1 단기주차장지상층,102,993
1,20210817135959,T1 단기주차장지하1층,123,973
2,20210817135959,T1 단기주차장지하2층,85,1339
3,20210817135959,T2 단기주차장지상1층,320,988
4,20210817135959,T2 단기주차장지상2층,17,470
5,20210817135959,T2 단기주차장지상3층,17,448
6,20210817135959,T2 단기주차장지상4층,0,486
7,20210817135959,T2 단기주차장지하M층,85,751
8,20210817135959,T1 장기 P1 주차장,285,2762
9,20210817135959,T1 장기 P1 주차타워,552,1374
0,20210817150013,T1 단기주차장지상층,128,993
1,20210817150013,T1 단기주차장지하1층,152,973
2,20210817150013,T1 단기주차장지하2층,89,1339
3,20210817150013,T2 단기주차장지상1층,333,988
4,20210817150013,T2 단기주차장지상2층,16,470
5,20210817150013,T2 단기주차장지상3층,17,448
6,20210817150013,T2 단기주차장지상4층,1,486
7,20210817150013,T2 단기주차장지하M층,92,751
8,20210817150013,T1 장기 P1 주차장,269,2762
9,20210817150013,T1 장기 P1 주차타워,548,1374
0,20210817155728,T1 단기주차장지상층,107,993
1,20210817155728,T1 단기주차장지하1층,126,973
2,20210817155728,T1 단기주차장지하2층,83,1339
3,20210817155728,T2 단기주차장지상1층,430,988
4,20210817155728,T2 단기주차장지상2층,18,470
5,20210817155728,T2 단기주차장지상3층,27,448
6,20210817155728,T2 단기주차장지상4층,1,486
7,20210817155728,T2 단기주차장지하M층,110,751
8,20210817155728,T1 장기 P1 주차장,272,2762
9,20210817155728,T1 장기 P1 주차타워,531,1374
0,20210817165742,T1 단기주차장지상층,95,993
1,20210817165742,T1 단기주차장지하1층,97,973
2,20210817165742,T1 단기주차장지하2층,66,1339
3,20210817165742,T2 단기주차장지상1층,531,988
4,20210817165742,T2 단기주차장지상2층,14,470
5,20210817165742,T2 단기주차장지상3층,26,448
6,20210817165742,T2 단기주차장지상4층,0,486
7,20210817165742,T2 단기주차장지하M층,123,751
8,20210817165742,T1 장기 P1 주차장,270,2762
9,20210817165742,T1 장기 P1 주차타워,537,1374
0,20210817175756,T1 단기주차장지상층,92,993
1,20210817175756,T1 단기주차장지하1층,107,973
2,20210817175756,T1 단기주차장지하2층,61,1339
3,20210817175756,T2 단기주차장지상1층,554,988
4,20210817175756,T2 단기주차장지상2층,19,470
5,20210817175756,T2 단기주차장지상3층,28,448
6,20210817175756,T2 단기주차장지상4층,0,486
7,20210817175756,T2 단기주차장지하M층,116,751
8,20210817175756,T1 장기 P1 주차장,261,2762
9,20210817175756,T1 장기 P1 주차타워,510,1374
